booking_date,booking_date_month,client_code,service_code,service_desc,staff,price,canceled_yes_no
3/14/2018,March,JUNJ01,CON,Consultation,JJ,0,1
3/14/2018,March,NORJ01,SHCM,Men's hair cut,JJ,49.48,1
3/15/2018,March,SCHJ01,CON,Consultation,JJ,0,0
3/15/2018,March,SCHJ02,SHCM,Men's hair cut,JJ,40,0
3/15/2018,March,LEHJ01,SHCM,Men's hair cut,JJ,40,0
3/15/2018,March,THOD01,SHCM,Men's hair cut,JJ,40,0
3/15/2018,March,KERT01,SHCW,Women's hair cut,JJ,82,0
3/15/2018,March,CORS01,SHCW,Women's hair cut,JJ,82,0
3/16/2018,March,SLEA01,SHCM,Men's hair cut,JJ,40,0
3/16/2018,March,STEH01,SHCM,Men's hair cut,JJ,40,0
3/16/2018,March,CHEW01,SHCW,Women's hair cut,JJ,82,0
3/16/2018,March,PARC01,SHCW,Women's hair cut,JJ,82,0
3/16/2018,March,TSUL01,SHCW,Women's hair cut,JJ,82,0
3/16/2018,March,STRH01,SHCW,Women's hair cut,JJ,82,0
3/20/2018,March,HUDS01,SHCW,Women's hair cut,JJ,82,0
3/20/2018,March,ERWS01,SHCW,Women's hair cut,JJ,82,0
3/20/2018,March,HOT01,SHCW,Women's hair cut,JJ,82,0
3/20/2018,March,MAIK01,SHCW,Women's hair cut,JJ,82,0
3/20/2018,March,NGUS01,SHCW,Women's hair cut,JJ,102,0
3/21/2018,March,BERI01,SHCM,Men's hair cut,JJ,40,0
3/21/2018,March,ROLD01,SHCM,Men's hair cut,JJ,40,0
3/21/2018,March,POTR01,SHCM,Men's hair cut,JJ,40,0
3/21/2018,March,YUES01,SHCW,Women's hair cut,JJ,82,0
3/21/2018,March,KRIJ01,SHCW,Women's hair cut,JJ,82,0
3/21/2018,March,CASH01,SHCW,Women's hair cut,JJ,82,0
3/22/2018,March,HYSA01,SHCM,Men's hair cut,JJ,40,0
3/22/2018,March,GALB01,SHCM,Men's hair cut,JJ,40,0
3/22/2018,March,TAYD01,SHCW,Women's hair cut,JJ,82,0
3/22/2018,March,GOSD01,SHCW,Women's hair cut,JJ,82,0
3/22/2018,March,OKEM01,SHCW,Women's hair cut,JJ,82,0
3/23/2018,March,TAYE01,SHCM,Men's hair cut,JJ,40,0
3/23/2018,March,WARG01,SHCW,Women's hair cut,JJ,82,0
3/23/2018,March,MOOH01,SHCW,Women's hair cut,JJ,82,0
3/23/2018,March,MUMK01,SHCW,Women's hair cut,JJ,82,0
3/23/2018,March,STEL01,SHCW,Women's hair cut,JJ,82,0
3/23/2018,March,DAV*01,SHCW,Women's hair cut,JJ,82,0
3/23/2018,March,DUFD01,CON,Consultation,JJ,0,1
3/24/2018,March,APTM01,SHCM,Men's hair cut,JJ,40,0
3/24/2018,March,HIMJ01,CON,Consultation,JJ,0,1
3/27/2018,March,FELH01,SHCW,Women's hair cut,JJ,82,0
3/27/2018,March,MINA01,SHCW,Women's hair cut,JJ,82,0
3/27/2018,March,BRES01,SHCW,Women's hair cut,JJ,82,0
3/27/2018,March,BUSC01,SHCW,Women's hair cut,JJ,82,0
3/27/2018,March,DESA01,SHCW,Women's hair cut,JJ,82,0
3/28/2018,March,CAND01,SHCM,Men's hair cut,JJ,40,0
3/28/2018,March,CAND01,CCAMO,Men's camo color,JJ,45,0
3/28/2018,March,HOP01,SHCW,Women's hair cut,JJ,82,0
3/29/2018,March,LINM01,SHCW,Women's hair cut,JJ,82,0
3/29/2018,March,REDM01,SHCW,Women's hair cut,JJ,82,0
3/29/2018,March,FLEC01,SHCW,Women's hair cut,JJ,82,0
3/29/2018,March,WIL*01,SHCW,Women's hair cut,JJ,88.44,1
3/30/2018,March,PRIM01,SHCW,Women's hair cut,JJ,51,0
3/30/2018,March,CHUC01,SHCW,Women's hair cut,JJ,82,0
4/1/2018,April,SLEA01,CON,Consultation,HOUSE,0,0
4/1/2018,April,SLEA01,CON,Consultation,HOUSE,0,0
