booking_date,booking_date_raw,booking_date_month,client_code,service_code,service_desc,staff,price,canceled_yes_no
2018-03-14,20180314,March,JUNJ01,CON,Consultation,JJ,0,1
2018-03-14,20180314,March,NORJ01,SHCM,Men's hair cut,JJ,49.48,1
2018-03-15,20180315,March,SCHJ01,CON,Consultation,JJ,0,0
2018-03-15,20180315,March,SCHJ02,SHCM,Men's hair cut,JJ,40,0
2018-03-15,20180315,March,LEHJ01,SHCM,Men's hair cut,JJ,40,0
2018-03-15,20180315,March,THOD01,SHCM,Men's hair cut,JJ,40,0
2018-03-15,20180315,March,KERT01,SHCW,Women's hair cut,JJ,82,0
2018-03-15,20180315,March,CORS01,SHCW,Women's hair cut,JJ,82,0
2018-03-16,20180316,March,SLEA01,SHCM,Men's hair cut,JJ,40,0
2018-03-16,20180316,March,STEH01,SHCM,Men's hair cut,JJ,40,0
2018-03-16,20180316,March,CHEW01,SHCW,Women's hair cut,JJ,82,0
2018-03-16,20180316,March,PARC01,SHCW,Women's hair cut,JJ,82,0
2018-03-16,20180316,March,TSUL01,SHCW,Women's hair cut,JJ,82,0
2018-03-16,20180316,March,STRH01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,20180320,March,HUDS01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,20180320,March,ERWS01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,20180320,March,HOT01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,20180320,March,MAIK01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,20180320,March,NGUS01,SHCW,Women's hair cut,JJ,102,0
2018-03-21,20180321,March,BERI01,SHCM,Men's hair cut,JJ,40,0
2018-03-21,20180321,March,ROLD01,SHCM,Men's hair cut,JJ,40,0
2018-03-21,20180321,March,POTR01,SHCM,Men's hair cut,JJ,40,0
2018-03-21,20180321,March,YUES01,SHCW,Women's hair cut,JJ,82,0
2018-03-21,20180321,March,KRIJ01,SHCW,Women's hair cut,JJ,82,0
2018-03-21,20180321,March,CASH01,SHCW,Women's hair cut,JJ,82,0
2018-03-22,20180322,March,HYSA01,SHCM,Men's hair cut,JJ,40,0
2018-03-22,20180322,March,GALB01,SHCM,Men's hair cut,JJ,40,0
2018-03-22,20180322,March,TAYD01,SHCW,Women's hair cut,JJ,82,0
2018-03-22,20180322,March,GOSD01,SHCW,Women's hair cut,JJ,82,0
2018-03-22,20180322,March,OKEM01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,20180323,March,TAYE01,SHCM,Men's hair cut,JJ,40,0
2018-03-23,20180323,March,WARG01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,20180323,March,MOOH01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,20180323,March,MUMK01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,20180323,March,STEL01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,20180323,March,DAV*01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,20180323,March,DUFD01,CON,Consultation,JJ,0,1
2018-03-24,20180324,March,APTM01,SHCM,Men's hair cut,JJ,40,0
2018-03-24,20180324,March,HIMJ01,CON,Consultation,JJ,0,1
2018-03-27,20180327,March,FELH01,SHCW,Women's hair cut,JJ,82,0
2018-03-27,20180327,March,MINA01,SHCW,Women's hair cut,JJ,82,0
2018-03-27,20180327,March,BRES01,SHCW,Women's hair cut,JJ,82,0
2018-03-27,20180327,March,BUSC01,SHCW,Women's hair cut,JJ,82,0
2018-03-27,20180327,March,DESA01,SHCW,Women's hair cut,JJ,82,0
2018-03-28,20180328,March,CAND01,SHCM,Men's hair cut,JJ,40,0
2018-03-28,20180328,March,CAND01,CCAMO,Men's camo color,JJ,45,0
2018-03-28,20180328,March,HOP01,SHCW,Women's hair cut,JJ,82,0
2018-03-29,20180329,March,LINM01,SHCW,Women's hair cut,JJ,82,0
2018-03-29,20180329,March,REDM01,SHCW,Women's hair cut,JJ,82,0
2018-03-29,20180329,March,FLEC01,SHCW,Women's hair cut,JJ,82,0
2018-03-29,20180329,March,WIL*01,SHCW,Women's hair cut,JJ,88.44,1
2018-03-30,20180330,March,PRIM01,SHCW,Women's hair cut,JJ,51,0
2018-03-30,20180330,March,CHUC01,SHCW,Women's hair cut,JJ,82,0
2018-04-01,20180401,April,SLEA01,CON,Consultation,HOUSE,0,0
2018-04-01,20180401,April,SLEA01,CON,Consultation,HOUSE,0,0
2018-04-03,20180403,April,YATT01,SHCM,Men's hair cut,BECKY,30,0
2018-04-03,20180403,April,NICP01,SHCM,Men's hair cut,BECKY,30,0
2018-04-03,20180403,April,DANJ01,SBD,Blowdry,SINEAD,30,0
2018-04-03,20180403,April,WONM02,SBD,Blowdry,JJ,32,0
2018-04-03,20180403,April,THOW01,SBD,Blowdry,JJ,32,0
2018-04-03,20180403,April,DOWR01,SHCW,Women's hair cut,BECKY,60,0
2018-04-03,20180403,April,HILJ01,CFC,Color full color,KELLY,63.13,1
2018-04-03,20180403,April,BOSJ01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-03,20180403,April,LINJ01,SHCW,Women's hair cut,JJ,82,0
2018-04-03,20180403,April,BREH01,SHCW,Women's hair cut,JJ,82,0
2018-04-03,20180403,April,KOOM01,SHCW,Women's hair cut,JJ,88.44,1
2018-04-03,20180403,April,SKUD01,SBD5+1,Blow dry bundle 5+1,BECKY,230,0
