booking_date,booking_date_month,booking_day_of_week,client_code,service_code,service_desc,staff,price,canceled_yes_no
2018-03-14,March,Wednesday,JUNJ01,CON,Consultation,JJ,0,1
2018-03-14,March,Wednesday,NORJ01,SHCM,Men's hair cut,JJ,49.48,1
2018-03-15,March,Thursday,SCHJ01,CON,Consultation,JJ,0,0
2018-03-15,March,Thursday,SCHJ02,SHCM,Men's hair cut,JJ,40,0
2018-03-15,March,Thursday,LEHJ01,SHCM,Men's hair cut,JJ,40,0
2018-03-15,March,Thursday,THOD01,SHCM,Men's hair cut,JJ,40,0
2018-03-15,March,Thursday,KERT01,SHCW,Women's hair cut,JJ,82,0
2018-03-15,March,Thursday,CORS01,SHCW,Women's hair cut,JJ,82,0
2018-03-16,March,Friday,SLEA01,SHCM,Men's hair cut,JJ,40,0
2018-03-16,March,Friday,STEH01,SHCM,Men's hair cut,JJ,40,0
2018-03-16,March,Friday,CHEW01,SHCW,Women's hair cut,JJ,82,0
2018-03-16,March,Friday,PARC01,SHCW,Women's hair cut,JJ,82,0
2018-03-16,March,Friday,TSUL01,SHCW,Women's hair cut,JJ,82,0
2018-03-16,March,Friday,STRH01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,March,Tuesday,HUDS01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,March,Tuesday,ERWS01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,March,Tuesday,HOT01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,March,Tuesday,MAIK01,SHCW,Women's hair cut,JJ,82,0
2018-03-20,March,Tuesday,NGUS01,SHCW,Women's hair cut,JJ,102,0
2018-03-21,March,Wednesday,BERI01,SHCM,Men's hair cut,JJ,40,0
2018-03-21,March,Wednesday,ROLD01,SHCM,Men's hair cut,JJ,40,0
2018-03-21,March,Wednesday,POTR01,SHCM,Men's hair cut,JJ,40,0
2018-03-21,March,Wednesday,YUES01,SHCW,Women's hair cut,JJ,82,0
2018-03-21,March,Wednesday,KRIJ01,SHCW,Women's hair cut,JJ,82,0
2018-03-21,March,Wednesday,CASH01,SHCW,Women's hair cut,JJ,82,0
2018-03-22,March,Thursday,HYSA01,SHCM,Men's hair cut,JJ,40,0
2018-03-22,March,Thursday,GALB01,SHCM,Men's hair cut,JJ,40,0
2018-03-22,March,Thursday,TAYD01,SHCW,Women's hair cut,JJ,82,0
2018-03-22,March,Thursday,GOSD01,SHCW,Women's hair cut,JJ,82,0
2018-03-22,March,Thursday,OKEM01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,March,Friday,TAYE01,SHCM,Men's hair cut,JJ,40,0
2018-03-23,March,Friday,WARG01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,March,Friday,MOOH01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,March,Friday,MUMK01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,March,Friday,STEL01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,March,Friday,DAV*01,SHCW,Women's hair cut,JJ,82,0
2018-03-23,March,Friday,DUFD01,CON,Consultation,JJ,0,1
2018-03-24,March,Saturday,APTM01,SHCM,Men's hair cut,JJ,40,0
2018-03-24,March,Saturday,HIMJ01,CON,Consultation,JJ,0,1
2018-03-27,March,Tuesday,FELH01,SHCW,Women's hair cut,JJ,82,0
2018-03-27,March,Tuesday,MINA01,SHCW,Women's hair cut,JJ,82,0
2018-03-27,March,Tuesday,BRES01,SHCW,Women's hair cut,JJ,82,0
2018-03-27,March,Tuesday,BUSC01,SHCW,Women's hair cut,JJ,82,0
2018-03-27,March,Tuesday,DESA01,SHCW,Women's hair cut,JJ,82,0
2018-03-28,March,Wednesday,CAND01,SHCM,Men's hair cut,JJ,40,0
2018-03-28,March,Wednesday,CAND01,CCAMO,Men's camo color,JJ,45,0
2018-03-28,March,Wednesday,HOP01,SHCW,Women's hair cut,JJ,82,0
2018-03-29,March,Thursday,LINM01,SHCW,Women's hair cut,JJ,82,0
2018-03-29,March,Thursday,REDM01,SHCW,Women's hair cut,JJ,82,0
2018-03-29,March,Thursday,FLEC01,SHCW,Women's hair cut,JJ,82,0
2018-03-29,March,Thursday,WIL*01,SHCW,Women's hair cut,JJ,88.44,1
2018-03-30,March,Friday,PRIM01,SHCW,Women's hair cut,JJ,51,0
2018-03-30,March,Friday,CHUC01,SHCW,Women's hair cut,JJ,82,0
2018-04-01,April,Sunday,SLEA01,CON,Consultation,HOUSE,0,0
2018-04-01,April,Sunday,SLEA01,CON,Consultation,HOUSE,0,0
2018-04-03,April,Tuesday,YATT01,SHCM,Men's hair cut,BECKY,30,0
2018-04-03,April,Tuesday,NICP01,SHCM,Men's hair cut,BECKY,30,0
2018-04-03,April,Tuesday,DANJ01,SBD,Blowdry,SINEAD,30,0
2018-04-03,April,Tuesday,WONM02,SBD,Blowdry,JJ,32,0
2018-04-03,April,Tuesday,THOW01,SBD,Blowdry,JJ,32,0
2018-04-03,April,Tuesday,DOWR01,SHCW,Women's hair cut,BECKY,60,0
2018-04-03,April,Tuesday,HILJ01,CFC,Color full color,KELLY,63.13,1
2018-04-03,April,Tuesday,BOSJ01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-03,April,Tuesday,LINJ01,SHCW,Women's hair cut,JJ,82,0
2018-04-03,April,Tuesday,BREH01,SHCW,Women's hair cut,JJ,82,0
2018-04-03,April,Tuesday,KOOM01,SHCW,Women's hair cut,JJ,88.44,1
2018-04-03,April,Tuesday,SKUD01,SBD5+1,Blow dry bundle 5+1,BECKY,230,0
2018-04-03,April,Tuesday,WONM02,SBD,Blowdry,JJ,44.55,1
2018-04-04,April,Wednesday,COLJ01,SHCM,Men's hair cut,JJ,40,0
2018-04-04,April,Wednesday,SLUS01,SHCM,Men's hair cut,JJ,40,0
2018-04-04,April,Wednesday,SARA01,SHCM,Men's hair cut,JJ,40,0
2018-04-04,April,Wednesday,MARG01,SHCM,Men's hair cut,JJ,40,0
2018-04-04,April,Wednesday,SCHH01,SBD,Blowdry,SINEAD,40,0
2018-04-04,April,Wednesday,WOOD01,CTU,Color touch up,KELLY,55,0
2018-04-04,April,Wednesday,BALJ01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-04,April,Wednesday,KEN*01,SHCW,Women's hair cut,SINEAD,70,0
2018-04-04,April,Wednesday,WOOD01,SHCW,Women's hair cut,JJ,92,0
2018-04-04,April,Wednesday,STRH01,CHLFH,Highlights full,KELLY,120,1
